measurement_id,x,y,z,var_r,var_z
60,-100.324112,-97.09198,-1102,0.000833333354,0
61,-111.199783,-126.809723,-1098,0.000833333354,0
62,-59.6185989,-108.914101,-1098,0.000833333354,0
63,159.396423,-62.2664948,-1098,0.000833333354,0
64,159.95459,-62.4319725,-1102,0.000833333354,0
65,128.79628,-12.2430887,-1102,0.000833333354,0
66,128.307083,-12.2092333,-1098,0.000833333354,0
67,43.0258102,-3.03434563,-962.5,0.000833333354,0
68,85.8264923,11.9651356,-962.5,0.000833333354,0
69,85.4312439,11.9384346,-958,0.000833333354,0
70,51.5175934,52.5368576,-962.5,0.000833333354,0
71,51.3253784,52.2864571,-958,0.000833333354,0
72,-60.8064079,-30.424612,-962,0.000833333354,0
73,-60.5071449,-30.3268185,-957.5,0.000833333354,0
74,-23.0774422,-40.1612892,-962,0.000833333354,0
75,-18.8535271,-30.8111362,-957.5,0.000833333354,0
76,-18.626461,-30.9544945,-957.5,0.000833333354,0
77,-22.9484692,-39.9673309,-957.5,0.000833333354,0
78,35.4082108,-30.7703571,-962,0.000833333354,0
79,35.247982,-30.6020603,-957.5,0.000833333354,0
80,58.6304665,-40.666523,-957.5,0.000833333354,0
81,58.9676399,-40.8685837,-962.5,0.000833333354,0
82,34.2380638,-15.6830482,-962.5,0.000833333354,0
83,34.0680733,-15.5983009,-958,0.000833333354,0
84,42.8013229,-2.97564292,-957.5,0.000833333354,0
85,75.007019,81.7961731,-962,0.000833333354,0
86,74.730484,81.4352417,-958,0.000833333354,0
87,18.6798191,117.907181,-958,0.000833333354,0
88,-60.5032005,111.796722,-962,0.000833333354,0
89,-110.151176,-49.8159409,-962,0.000833333354,0
90,-88.9358521,-83.0775986,-958,0.000833333354,0
91,-92.9849472,-78.2375183,-958,0.000833333354,0
92,-89.263649,-83.4856415,-962,0.000833333354,0
93,-94.3721619,-113.721413,-958,0.000833333354,0
94,-50.7415962,-95.9055862,-958,0.000833333354,0
95,-50.9971428,-96.2915649,-962,0.000833333354,0
96,138.854462,-56.4561348,-958,0.000833333354,0
97,112.753685,-10.300106,-962,0.000833333354,0
98,112.282005,-10.2116013,-958,0.000833333354,0
99,36.8912239,-2.45625973,-822.5,0.000833333354,0
100,73.6342621,11.3749218,-822.5,0.000833333354,0
101,73.22332,11.356823,-818,0.000833333354,0
102,44.4007645,44.9032135,-822.5,0.000833333354,0
103,44.1662216,44.6563072,-818,0.000833333354,0
104,64.7396698,68.8968582,-818,0.000833333354,0
105,-51.8309708,-26.5947418,-822,0.000833333354,0
106,-51.537384,-26.4181767,-817.5,0.000833333354,0
107,-19.6123123,-34.5105247,-822,0.000833333354,0
108,-42.5155182,-83.0585938,-822,0.000833333354,0
109,-19.5116043,-34.3470459,-817.5,0.000833333354,0
110,-42.2596893,-82.6166916,-817.5,0.000833333354,0
111,30.1307507,-26.6497269,-822,0.000833333354,0
112,49.768528,-35.2292709,-817.5,0.000833333354,0
113,29.9581432,-26.5413551,-817.5,0.000833333354,0
114,50.0654259,-35.4483681,-822.5,0.000833333354,0
115,29.4154568,-13.3500652,-822.5,0.000833333354,0
116,29.2485523,-13.2779188,-818,0.000833333354,0
117,36.6882896,-2.44589281,-817.5,0.000833333354,0
118,96.1649857,-8.35011387,-817.5,0.000833333354,0
119,-48.995285,96.8712082,-818,0.000833333354,0
120,-49.2792625,97.2858887,-822,0.000833333354,0
121,-112.072754,116.114128,-818,0.000833333354,0
122,-77.4427261,-69.8500137,-818,0.000833333354,0
123,-79.8791046,-66.8465042,-818,0.000833333354,0
124,-77.7792282,-70.2125473,-822,0.000833333354,0
125,-78.3447037,-99.7347412,-818,0.000833333354,0
126,15.2572098,-164.345871,-818,0.000833333354,0
127,15.2578039,-165.129059,-822,0.000833333354,0
128,118.517853,-49.9835968,-818,0.000833333354,0
129,163.877335,-52.6397896,-822,0.000833333354,0
130,31.6781197,-2.0437963,-702.5,0.000833333354,0
131,63.1555939,10.645628,-702.5,0.000833333354,0
132,62.7536087,10.6300249,-698,0.000833333354,0
133,38.2254219,38.4345627,-702.5,0.000833333354,0
134,56.249752,58.7169304,-702.5,0.000833333354,0
135,37.9725723,38.2195396,-698,0.000833333354,0
136,55.9444389,58.3422241,-698,0.000833333354,0
137,18.6440258,86.1982727,-702.5,0.000833333354,0
138,-40.5531845,84.3457565,-702.5,0.000833333354,0
139,-44.258812,-23.1467762,-702,0.000833333354,0
140,-81.1893311,-36.0611458,-702,0.000833333354,0
141,-43.9588966,-23.0203724,-697.5,0.000833333354,0
142,-67.6220627,-59.2520256,-702.5,0.000833333354,0
143,-68.9959793,-57.4736099,-702.5,0.000833333354,0
144,-16.6879749,-29.6774139,-702,0.000833333354,0
145,-35.570446,-71.4731369,-702,0.000833333354,0
146,-35.3137283,-71.07267,-697.5,0.000833333354,0
147,-16.5784855,-29.4781208,-697.5,0.000833333354,0
148,25.6173534,-23.1142464,-702,0.000833333354,0
149,25.4815025,-22.9814701,-697.5,0.000833333354,0
150,42.2164001,-30.4354343,-697.5,0.000833333354,0
151,42.5729675,-30.6637917,-702.5,0.000833333354,0
152,31.4126892,-1.9928205,-697.5,0.000833333354,0
153,82.3643188,-6.8810091,-697.5,0.000833333354,0
154,7.90682983,173.12178,-702,0.000833333354,0
155,-98.1559601,97.5123138,-698,0.000833333354,0
156,-65.2333603,-87.0250778,-698,0.000833333354,0
157,-65.6682587,-87.4338608,-702,0.000833333354,0
158,14.9146194,-140.77034,-698,0.000833333354,0
159,14.8984785,-141.534515,-702,0.000833333354,0
160,101.223846,-43.9709129,-698,0.000833333354,0
161,140.037872,-46.4107704,-702,0.000833333354,0
162,54.4407539,9.83105564,-602.5,0.000833333354,0
163,54.058506,9.78158951,-598,0.000833333354,0
164,33.0360565,33.0924721,-602.5,0.000833333354,0
165,48.7671013,50.1306877,-602.5,0.000833333354,0
166,32.8038216,32.8571205,-598,0.000833333354,0
167,48.4572105,49.7385178,-598,0.000833333354,0
168,17.7809124,73.8386993,-602.5,0.000833333354,0
169,-33.7086372,73.2264481,-602.5,0.000833333354,0
170,-37.9372711,-20.2033749,-602,0.000833333354,0
